logged,Activity_status
30,High activity
30,High activity
31,Everyday user
18,Moderate activity
31,Everyday user
30,High activity
31,Everyday user
31,Everyday user
31,Everyday user
31,Everyday user
28,High activity
17,Moderate activity
31,Everyday user
24,High activity
30,High activity
31,Everyday user
18,Moderate activity
31,Everyday user
30,High activity
19,Moderate activity
31,Everyday user
31,Everyday user
17,Moderate activity
31,Everyday user
20,Moderate activity
31,Everyday user
30,High activity
17,Moderate activity
23,Moderate activity
24,High activity
21,Moderate activity
31,Everyday user
3,Light activity
