Id;ActivityDay;StepTotal;Day
1503960366;4/12/2016;13162;Tue
1503960366;4/13/2016;10735;Wed
1503960366;4/14/2016;10460;Thu
1503960366;4/15/2016;9762;Fri
1503960366;4/16/2016;12669;Sat
1503960366;4/17/2016;9705;Sun
1503960366;4/18/2016;13019;Mon
1503960366;4/19/2016;15506;Tue
1503960366;4/20/2016;10544;Wed
1503960366;4/21/2016;9819;Thu
1503960366;4/22/2016;12764;Fri
1503960366;4/23/2016;14371;Sat
1503960366;4/24/2016;10039;Sun
1503960366;4/25/2016;15355;Mon
1503960366;4/26/2016;13755;Tue
1503960366;4/27/2016;18134;Wed
1503960366;4/28/2016;13154;Thu
1503960366;4/29/2016;11181;Fri
1503960366;4/30/2016;14673;Sat
1503960366;5/1/2016;10602;Sun
1503960366;5/2/2016;14727;Mon
1503960366;5/3/2016;15103;Tue
1503960366;5/4/2016;11100;Wed
1503960366;5/5/2016;14070;Thu
1503960366;5/6/2016;12159;Fri
1503960366;5/7/2016;11992;Sat
1503960366;5/8/2016;10060;Sun
1503960366;5/9/2016;12022;Mon
1503960366;5/10/2016;12207;Tue
1503960366;5/11/2016;12770;Wed
1624580081;4/12/2016;8163;Tue
1624580081;4/13/2016;7007;Wed
1624580081;4/14/2016;9107;Thu
1624580081;4/15/2016;1510;Fri
1624580081;4/16/2016;5370;Sat
1624580081;4/17/2016;6175;Sun
1624580081;4/18/2016;10536;Mon
1624580081;4/19/2016;2916;Tue
1624580081;4/20/2016;4974;Wed
1624580081;4/21/2016;6349;Thu
1624580081;4/22/2016;4026;Fri
1624580081;4/23/2016;8538;Sat
1624580081;4/24/2016;6076;Sun
1624580081;4/25/2016;6497;Mon
1624580081;4/26/2016;2826;Tue
1624580081;4/27/2016;8367;Wed
1624580081;4/28/2016;2759;Thu
1624580081;4/29/2016;2390;Fri
1624580081;4/30/2016;6474;Sat
1624580081;5/1/2016;36019;Sun
1624580081;5/2/2016;7155;Mon
1624580081;5/3/2016;2100;Tue
1624580081;5/4/2016;2193;Wed
1624580081;5/5/2016;2470;Thu
1624580081;5/6/2016;1727;Fri
1624580081;5/7/2016;2104;Sat
1624580081;5/8/2016;3427;Sun
1624580081;5/9/2016;1732;Mon
1624580081;5/10/2016;2969;Tue
1624580081;5/11/2016;3134;Wed
1624580081;5/12/2016;2971;Thu
1644430081;4/12/2016;10694;Tue
1644430081;4/13/2016;8001;Wed
1644430081;4/14/2016;11037;Thu
1644430081;4/15/2016;5263;Fri
1644430081;4/16/2016;15300;Sat
1644430081;4/17/2016;8757;Sun
1644430081;4/18/2016;7132;Mon
1644430081;4/19/2016;11256;Tue
1644430081;4/20/2016;2436;Wed
1644430081;4/21/2016;1223;Thu
1644430081;4/22/2016;3673;Fri
1644430081;4/23/2016;6637;Sat
1644430081;4/24/2016;3321;Sun
1644430081;4/25/2016;3580;Mon
1644430081;4/26/2016;9919;Tue
1644430081;4/27/2016;3032;Wed
1644430081;4/28/2016;9405;Thu
1644430081;4/29/2016;3176;Fri
1644430081;4/30/2016;18213;Sat
1644430081;5/1/2016;6132;Sun
1644430081;5/2/2016;3758;Mon
1644430081;5/3/2016;12850;Tue
1644430081;5/4/2016;2309;Wed
1644430081;5/5/2016;4363;Thu
1644430081;5/6/2016;9787;Fri
1644430081;5/7/2016;13372;Sat
1644430081;5/8/2016;6724;Sun
1644430081;5/9/2016;6643;Mon
1644430081;5/10/2016;9167;Tue
1644430081;5/11/2016;1329;Wed
1844505072;4/12/2016;6697;Tue
1844505072;4/13/2016;4929;Wed
1844505072;4/14/2016;7937;Thu
1844505072;4/15/2016;3844;Fri
1844505072;4/16/2016;3414;Sat
1844505072;4/17/2016;4525;Sun
1844505072;4/18/2016;4597;Mon
1844505072;4/19/2016;197;Tue
